Strike ID,Date,Location,Area,Minimum total people killed,Maximum total people killed,Minimum civilians reported killed,Maximum civilians reported killed,Minimum children reported killed,Maximum children reported killed,Minimum reported injured,Maximum reported injured,Strike link,,Index,Strike Effectiveness
Ob53,01/01/2010,Ghundikala,North Waziristan,2,3,0,0,0,0,3,4,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob53,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#,104,1
Ob54,03/01/2010,Mosaki,North Waziristan,5,5,1,2,1,1,2,2,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob54,,105,0.6
Ob55,06/01/2010,Sanzali,North Waziristan,5,7,0,6,0,0,5,5,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob55,,106,0.1428571429
Ob56,06/01/2010,Sanzali,North Waziristan,5,9,5,5,0,0,3,3,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob56,,107,0.4444444444
Ob57,08/01/2010,Tappi,North Waziristan,5,6,5,5,1,1,3,3,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob57,,108,0.1666666667
Ob58,09/01/2010,Ismail Khel,North Waziristan,4,5,0,0,0,0,5,5,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob58,,109,1
Ob59,09/01/2010,Shaktoi,North Waziristan,15,18,0,0,0,0,7,14,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob59,,110,1
Ob60,15/01/2010,Zanani,North Waziristan,5,10,0,0,0,0,3,3,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob60,,111,1
Ob61,15/01/2010,Shaktoi,North Waziristan,6,10,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob61,,112,1
Ob62,17/01/2010,Shaktoi,North Waziristan,14,20,0,0,0,0,4,4,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob62,,113,1
Ob63,19/01/2010,Deegan,North Waziristan,5,9,0,0,0,0,4,4,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob63,,114,1
Ob64,29/01/2010,Mohammad Khel,North Waziristan,2,15,0,0,0,0,4,4,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob64,,115,1
Ob65,02/02/2010,Toor Narai,North Waziristan,23,24,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob65,,116,1
Ob66,02/02/2010,Deegan,North Waziristan,0,0,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob66,,117,#DIV/0!
Ob67,02/02/2010,Mohammad Khel,North Waziristan,0,0,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob67,,118,#DIV/0!
Ob68,02/02/2010,Pai Khel,North Waziristan,9,9,5,5,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob68,,119,0.4444444444
Ob69,14/02/2010,Mir Ali,North Waziristan,5,7,0,0,0,0,4,4,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob69,,120,1
Ob70,15/02/2010,Tappi,North Waziristan,4,5,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob70,,121,1
Ob71,17/02/2010,Tabbi,North Waziristan,4,4,0,0,0,0,2,3,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob71,,122,1
Ob72,18/02/2010,Danda Darpakhel,North Waziristan,3,5,0,0,0,0,4,4,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob72,,123,1
Ob73,24/02/2010,Darga Mandi,North Waziristan,5,13,5,6,1,1,6,6,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob73,,124,0.5384615385
Ob74,08/03/2010,Miram Shah,North Waziristan,9,9,0,0,0,0,2,2,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob74,,125,1
Ob75,10/03/2010,Mizar Madakhel,North Waziristan,7,8,0,0,0,0,12,12,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob75,,126,1
Ob76,10/03/2010,Mizar Madakhel,North Waziristan,7,7,4,7,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob76,,127,0
Ob77,16/03/2010,Datta Khel,North Waziristan,7,11,0,0,0,0,2,2,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob77,,128,1
Ob78,17/03/2010,Hamzoni,North Waziristan,3,5,0,0,0,0,4,4,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob78,,129,1
Ob79,17/03/2010,Mizar Madakhel,North Waziristan,5,5,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob79,,130,1
Ob80,21/03/2010,Inzar,North Waziristan,5,8,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob80,,131,1
Ob81,23/03/2010,Machis,North Waziristan,6,6,0,0,0,0,3,3,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob81,,132,1
Ob82,27/03/2010,Hurmuz,North Waziristan,4,4,0,4,0,0,5,5,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob82,,133,0
Ob83,31/03/2010,Tappi,North Waziristan,5,6,5,6,1,1,2,2,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob83,,134,0
Ob84,12/04/2010,Boya,North Waziristan,13,13,8,13,2,2,2,3,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob84,,135,0
Ob85,14/04/2010,Ambar Shaga,North Waziristan,4,5,0,0,0,0,1,3,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob85,,136,1
Ob86,16/04/2010,Toorikhel,North Waziristan,3,4,0,0,0,0,2,2,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob86,,137,1
Ob87,24/04/2010,Machi Khel,North Waziristan,7,9,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob87,,138,1
Ob88,26/04/2010,Khushali,North Waziristan,3,8,0,0,0,0,3,3,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob88,,139,1
Ob89,03/05/2010,Machi Khel,North Waziristan,4,6,0,2,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob89,,140,0.6666666667
Ob90,09/05/2010,Datta Khel,North Waziristan,5,10,0,4,0,0,4,4,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob90,,141,0.6
Ob91,11/05/2010,Datta Khel,North Waziristan,8,14,0,4,0,0,12,12,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob91,,142,0.7142857143
Ob92,11/05/2010,Gurwak,North Waziristan,7,15,0,0,0,0,4,4,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob92,,143,1
Ob93,15/05/2010,Khyber,Khyber Agency,5,15,0,2,0,0,15,15,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob93,,144,0.8666666667
Ob94,21/05/2010,Boya,North Waziristan,11,11,10,10,7,7,7,10,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob94,,145,0.09090909091
Ob95,28/05/2010,Mizai Nari,South Waziristan,8,12,0,11,0,0,4,4,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob95,,146,0.08333333333
Ob96,10/06/2010,Norak,North Waziristan,2,7,4,4,0,0,3,3,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob96,,147,0.4285714286
Ob97,11/06/2010,Maizer,North Waziristan,10,15,0,0,0,0,10,12,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob97,,148,1
Ob98,19/06/2010,Haider Khel,North Waziristan,16,17,0,0,0,0,10,18,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob98,,149,1
Ob99,26/06/2010,Khushali,North Waziristan,2,4,0,0,0,0,1,3,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob99,,150,1
Ob100,27/06/2010,Tabbi,North Waziristan,5,6,0,0,0,0,4,4,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob100,,151,1
Ob101,29/06/2010,Kari Kot,South Waziristan,7,10,0,0,0,0,1,4,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob101,,152,1
Ob102,15/07/2010,Sheerani,North Waziristan,9,14,0,7,0,0,3,3,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob102,,153,0.5
Ob103,24/07/2010,Dwasarak,South Waziristan,16,18,0,0,0,0,24,24,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob103,,154,1
Ob104,25/07/2010,Shaktoi,North Waziristan,14,32,0,0,0,0,7,12,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob104,,155,1
Ob105,25/07/2010,Tabbi,North Waziristan,4,12,0,0,0,0,2,4,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob105,,156,1
Ob106,25/07/2010,Sararogha,South Waziristan,4,4,0,0,0,0,5,5,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob106,,157,1
Ob107,14/08/2010,Issori,North Waziristan,13,14,7,7,1,1,5,6,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob107,,158,0.5
Ob108,21/08/2010,Qutab Khel,North Waziristan,4,6,0,4,0,0,2,2,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob108,,159,0.3333333333
Ob109,23/08/2010,Danda Darpakhel,North Waziristan,20,20,7,9,3,3,15,15,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob109,,160,0.55
Ob110,23/08/2010,Darga Mandi,North Waziristan,5,7,0,0,0,0,3,12,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob110,,161,1
Ob111,27/08/2010,Shahidano,Kurram Agency,3,9,0,0,0,0,2,2,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob111,,162,1
Ob112,27/08/2010,Badshah Kot,Kurram Agency,0,0,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob112,,163,#DIV/0!
Ob113,27/08/2010,Taaloo Ganj,Kurram Agency,2,3,0,3,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob113,,164,0
Ob114,03/09/2010,Miram Shah,North Waziristan,6,9,0,0,0,0,2,3,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob114,,165,1
Ob115,03/09/2010,Datta Khel,North Waziristan,2,4,0,0,0,0,2,2,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob115,,166,1
Ob116,04/09/2010,Datta Khel,North Waziristan,7,8,0,0,0,0,12,12,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob116,,167,1
Ob117,06/09/2010,Khar Qamar,North Waziristan,3,6,0,0,0,0,1,1,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob117,,168,1
Ob118,08/09/2010,Danda Darpakhel,North Waziristan,5,10,4,4,4,4,2,2,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob118,,169,0.6
Ob119,08/09/2010,Ambar Shaga,North Waziristan,3,4,0,4,0,0,1,2,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob119,,170,0
Ob120,08/09/2010,Danda Darpakhel,North Waziristan,10,10,0,0,0,0,2,5,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob120,,171,1
Ob121,09/09/2010,Miram Shah,North Waziristan,3,6,0,0,0,0,3,5,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob121,,172,1
Ob122,12/09/2010,Newey Adda,North Waziristan,5,7,0,0,0,0,2,3,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob122,,173,1
Ob123,14/09/2010,Bushnarai,North Waziristan,11,12,0,0,0,0,4,4,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob123,,174,1
Ob124,14/09/2010,Qutab Khel,North Waziristan,1,4,0,0,0,0,4,4,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob124,,175,1
Ob125,15/09/2010,Darga Mandi,North Waziristan,11,15,5,5,0,0,1,5,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob125,,176,0.6666666667
Ob126,15/09/2010,Pai Khel,North Waziristan,4,7,0,0,0,0,3,3,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob126,,177,1
Ob127,19/09/2010,Deegan,North Waziristan,3,9,5,5,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob127,,178,0.4444444444
Ob128,20/09/2010,Darazinda,North Waziristan,3,6,0,3,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob128,,179,0.5
Ob129,21/09/2010,Khand Morsak,South Waziristan,7,8,0,0,0,0,4,5,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob129,,180,1
Ob130,21/09/2010,Azam Warsak,South Waziristan,0,16,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob130,,181,1
Ob131,25/09/2010,Datta Khel,North Waziristan,2,4,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob131,,182,1
Ob132,26/09/2010,Lawra Mandi,North Waziristan,4,5,0,0,0,0,2,2,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob132,,183,1
Ob133,26/09/2010,Miram Shah,North Waziristan,3,5,0,0,0,0,1,2,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob133,,184,1
Ob134,26/09/2010,Sheerani,North Waziristan,2,3,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob134,,185,1
Ob135,27/09/2010,Khushali,North Waziristan,3,4,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob135,,186,1
Ob136,28/09/2010,Zeba,South Waziristan,4,4,0,0,0,0,2,2,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob136,,187,1
Ob137,02/10/2010,Asar Village,North Waziristan,8,10,0,0,0,0,2,4,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob137,,188,1
Ob138,02/10/2010,Inzarkas,North Waziristan,7,14,0,0,0,0,2,2,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob138,,189,1
Ob139,04/10/2010,Mir Ali,North Waziristan,5,9,0,3,0,0,2,2,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob139,,190,0.6666666667
Ob140,06/10/2010,Miram Shah,North Waziristan,5,11,0,0,0,0,4,4,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob140,,191,1
Ob141,06/10/2010,Hurmuz,North Waziristan,3,5,0,0,0,0,3,3,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob141,,192,1
Ob142,07/10/2010,Khaisoori,North Waziristan,4,4,0,0,0,0,2,2,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob142,,193,1
Ob143,08/10/2010,Mohammad Khel,North Waziristan,4,6,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob143,,194,1
Ob144,08/10/2010,Char Khel,North Waziristan,5,8,0,4,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob144,,195,0.5
Ob145,10/10/2010,Shiva,North Waziristan,4,9,0,0,0,0,3,3,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob145,,196,1
Ob146,13/10/2010,Datta Khel,North Waziristan,6,14,3,6,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob146,,197,0.5714285714
Ob147,15/10/2010,Aziz Khel,North Waziristan,4,6,0,0,0,0,3,3,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob147,,198,1
Ob148,15/10/2010,Machi Khel,North Waziristan,3,5,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob148,,199,1
Ob149,18/10/2010,Datta Khel,North Waziristan,6,7,1,1,1,1,1,6,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob149,,200,0.8571428571
Ob150,27/10/2010,Mir Ali,North Waziristan,2,5,0,0,0,0,1,1,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob150,,201,1
Ob151,27/10/2010,Deegan,North Waziristan,2,4,0,0,0,0,1,1,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob151,,202,1
Ob152,28/10/2010,Ismail Khel,North Waziristan,4,8,0,4,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob152,,203,0.5
Ob153,01/11/2010,Haider Khel,North Waziristan,5,6,0,0,0,0,2,2,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob153,,204,1
Ob154,03/11/2010,Qutab Khel,North Waziristan,4,5,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob154,,205,1
Ob155,03/11/2010,Khaso Khel,North Waziristan,4,5,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob155,,206,1
Ob156,03/11/2010,Pai Khel,North Waziristan,4,5,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob156,,207,1
Ob157,07/11/2010,Ghulam Khan,North Waziristan,8,9,0,0,0,0,2,2,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob157,,208,1
Ob158,07/11/2010,Datta Khel,North Waziristan,3,6,0,0,0,0,1,4,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob158,,209,1
Ob159,11/11/2010,Ghulam Khan,North Waziristan,5,8,0,0,0,0,5,6,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob159,,210,1
Ob160,13/11/2010,Miram Shah,North Waziristan,4,4,0,4,0,0,1,1,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob160,,211,0
Ob161,16/11/2010,Ghulam Khan,North Waziristan,20,20,0,9,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob161,,212,0.55
Ob162,19/11/2010,Norak,North Waziristan,2,4,0,0,0,0,1,1,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob162,,213,1
Ob163,21/11/2010,Khaddi,North Waziristan,5,9,0,3,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob163,,214,0.6666666667
Ob164,22/11/2010,Khesoor,North Waziristan,3,6,0,0,0,0,2,3,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob164,,215,1
Ob165,26/11/2010,Pir Kelev,North Waziristan,2,4,1,4,1,1,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob165,,216,0
Ob166,28/11/2010,Hassan Khel,North Waziristan,0,4,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob166,,217,1
Ob167,06/12/2010,Khushali,North Waziristan,3,5,0,2,0,0,3,3,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob167,,218,0.6
Ob168,06/12/2010,Kushali,North Waziristan,2,4,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob168,,219,1
Ob169,10/12/2010,Khadar Khel,North Waziristan,4,4,0,0,0,0,2,2,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob169,,220,1
Ob170,14/12/2010,Spalaga,North Waziristan,3,4,0,4,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob170,,221,0
Ob171,16/12/2010,Tirah Valley,Khyber Agency,7,7,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob171,,222,1
Ob172,17/12/2010,Sandana,Khyber Agency,7,15,0,0,0,0,7,11,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob172,,223,1
